,Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,Size_ml,Price_per_ml,Popularity_Score,Usage_Encoded,Segment,Combined_Features
42,Perfect Face Mask,Rms Beauty,Blush,Weekly,142.53,2.5,734,100Ml,Oily,Unisex,Compact,Glycerin,False,France,100.0,1.4253,16.49967624803209,3,1,Blush Glycerin Oily Compact
43,Perfect Contour,Pat Mcgrath Labs,Serum,Occasional,99.2,3.1,4405,30Ml,Oily,Male,Tube,Aloe Vera,True,Japan,30.0,3.3066666666666666,26.011239834823098,2,1,Serum Aloe Vera Oily Tube
44,Divine Cc Cream,Fenty Beauty,Mascara,Occasional,132.98,1.4,7747,30Ml,Dry,Unisex,Jar,Glycerin,True,South Korea,30.0,4.432666666666666,12.537266034337641,2,1,Mascara Glycerin Dry Jar
45,Perfect Lip Liner,Bite Beauty,Face Oil,Weekly,72.88,1.1,3358,30Ml,Sensitive,Female,Compact,Shea Butter,False,Australia,30.0,2.429333333333333,8.931338448573523,3,2,Face Oil Shea Butter Sensitive Compact
46,Ultra Moisturizer,Hourglass,Contour,Daily,79.42,4.7,3975,100Ml,Dry,Female,Bottle,Shea Butter,False,France,100.0,0.7942,38.953748368549384,0,0,Contour Shea Butter Dry Bottle
47,Magic Setting Spray,Drunk Elephant,Cleanser,Daily,70.15,3.0,786,200Ml,Dry,Unisex,Tube,Shea Butter,True,Japan,200.0,0.35075,20.00468474525221,0,0,Cleanser Shea Butter Dry Tube
48,Magic Cc Cream,Urban Decay,Contour,Weekly,111.62,4.9,2705,50Ml,Normal,Male,Compact,Retinol,False,South Korea,50.0,2.2324,38.7258113627806,3,0,Contour Retinol Normal Compact
49,Divine Setting Spray,Laura Mercier,Bb Cream,Monthly,45.83,2.1,6947,50Ml,Oily,Female,Jar,Salicylic Acid,False,Japan,50.0,0.9166,18.577039167458093,1,2,Bb Cream Salicylic Acid Oily Jar
50,Super Exfoliator,Hourglass,Exfoliator,Occasional,19.74,1.3,5980,150Ml,Normal,Unisex,Spray,Salicylic Acid,False,South Korea,150.0,0.1316,11.305245974157923,2,2,Exfoliator Salicylic Acid Normal Spray
51,Perfect Eye Shadow,Laura Mercier,Eyeliner,Weekly,112.67,3.3,1492,200Ml,Dry,Unisex,Spray,Aloe Vera,True,Germany,200.0,0.56335,24.118191231879326,3,0,Eyeliner Aloe Vera Dry Spray
52,Super Highlighter,Tarte,Exfoliator,Occasional,148.7,3.5,5380,100Ml,Normal,Unisex,Stick,Retinol,False,Australia,100.0,1.4869999999999999,30.06720328321297,2,1,Exfoliator Retinol Normal Stick
53,Ultra Serum,Anastasia Beverly Hills,Concealer,Occasional,49.32,2.5,3274,250Ml,Dry,Female,Bottle,Salicylic Acid,True,Australia,250.0,0.19728,20.235182870173382,2,2,Concealer Salicylic Acid Dry Bottle
54,Ultra Cleanser,Laura Mercier,Cc Cream,Weekly,42.84,1.1,4441,50Ml,Sensitive,Male,Jar,Vitamin C,True,South Korea,50.0,0.8568000000000001,9.23874600489981,3,2,Cc Cream Vitamin C Sensitive Jar
55,Perfect Serum,E.L.F.,Concealer,Occasional,133.56,1.3,7450,200Ml,Normal,Male,Spray,Glycerin,False,Australia,200.0,0.6678000000000001,11.590934589719845,2,1,Concealer Glycerin Normal Spray
56,Divine Cleanser,Becca,Face Mask,Occasional,49.67,1.9,8956,30Ml,Oily,Female,Jar,Hyaluronic Acid,False,Germany,30.0,1.6556666666666666,17.29036219410287,2,2,Face Mask Hyaluronic Acid Oily Jar
57,Divine Primer,Tarte,Bronzer,Occasional,31.81,3.1,6868,100Ml,Sensitive,Male,Compact,Shea Butter,False,Japan,100.0,0.3181,27.387798824063037,2,2,Bronzer Shea Butter Sensitive Compact
58,Super Eyeliner,E.L.F.,Primer,Occasional,28.72,2.6,4597,200Ml,Sensitive,Unisex,Stick,Aloe Vera,False,Japan,200.0,0.1436,21.92677943384013,2,2,Primer Aloe Vera Sensitive Stick
59,Super Blush,Yves Saint Laurent,Face Mask,Weekly,110.51,4.2,2973,100Ml,Normal,Male,Stick,Vitamin C,False,Uk,100.0,1.1051,33.590185133484425,3,0,Face Mask Vitamin C Normal Stick
60,Magic Primer,Bourjois,Contour,Occasional,142.17,3.9,8901,50Ml,Oily,Unisex,Stick,Salicylic Acid,False,Italy,50.0,2.8434,35.46672187334562,2,3,Contour Salicylic Acid Oily Stick
61,Perfect Mascara,Rare Beauty,Exfoliator,Weekly,97.15,1.2,764,100Ml,Normal,Female,Spray,Salicylic Acid,True,Australia,100.0,0.9715,7.967851000591843,3,1,Exfoliator Salicylic Acid Normal Spray
62,Ultra Concealer,Perricone Md,Makeup Remover,Daily,110.12,2.3,1532,200Ml,Oily,Male,Compact,Shea Butter,False,Germany,200.0,0.5506,16.87045832140517,0,1,Makeup Remover Shea Butter Oily Compact
63,Ultra Face Oil,Laura Mercier,Exfoliator,Monthly,13.9,3.6,262,100Ml,Dry,Male,Stick,Aloe Vera,True,Usa,100.0,0.139,20.059754515839952,1,0,Exfoliator Aloe Vera Dry Stick
64,Magic Contour,Kylie Cosmetics,Powder,Occasional,107.38,4.9,5290,50Ml,Normal,Male,Spray,Hyaluronic Acid,False,Australia,50.0,2.1475999999999997,42.01143646023024,2,3,Powder Hyaluronic Acid Normal Spray
65,Magic Mascara,Bourjois,Cleanser,Daily,97.75,2.9,3341,30Ml,Combination,Male,Compact,Vitamin C,False,Uk,30.0,3.2583333333333333,23.53154165655048,0,0,Cleanser Vitamin C Combination Compact
66,Super Eye Shadow,Bourjois,Eye Shadow,Daily,57.24,2.5,7063,30Ml,Combination,Female,Jar,Hyaluronic Acid,True,Italy,30.0,1.9080000000000001,22.15691685570949,0,2,Eye Shadow Hyaluronic Acid Combination Jar
67,Ultra Eyeliner,Glossier,Lip Liner,Daily,94.09,2.5,9321,100Ml,Oily,Unisex,Spray,Shea Butter,True,France,100.0,0.9409000000000001,22.850331192331716,0,3,Lip Liner Shea Butter Oily Spray
68,Super Bb Cream,Bobby Brown,Foundation,Occasional,22.93,4.0,8824,200Ml,Dry,Unisex,Stick,Vitamin C,False,Germany,200.0,0.11465,36.34137552720599,2,3,Foundation Vitamin C Dry Stick
69,Perfect Concealer,Becca,Lipstick,Daily,38.7,3.5,1145,200Ml,Oily,Male,Stick,Glycerin,True,Uk,200.0,0.1935,24.6541151404614,0,0,Lipstick Glycerin Oily Stick
70,Magic Setting Spray,Farsali,Lip Liner,Daily,103.44,4.5,7547,150Ml,Combination,Female,Spray,Shea Butter,False,Germany,150.0,0.6896,40.18067057919799,0,3,Lip Liner Shea Butter Combination Spray
71,Divine Makeup Remover,Tatcha,Contour,Weekly,84.37,2.4,3721,200Ml,Dry,Unisex,Stick,Shea Butter,True,France,200.0,0.42185,19.73283944928527,3,1,Contour Shea Butter Dry Stick
72,Super Bronzer,Anastasia Beverly Hills,Cleanser,Weekly,143.23,4.8,2308,50Ml,Normal,Unisex,Stick,Retinol,True,Italy,50.0,2.8646,37.17393508490158,3,0,Cleanser Retinol Normal Stick
73,Magic Lipstick,Rms Beauty,Powder,Monthly,114.37,2.8,9401,30Ml,Normal,Male,Bottle,Retinol,False,Italy,30.0,3.8123333333333336,25.616297592435412,1,3,Powder Retinol Normal Bottle
74,Divine Contour,Morphe,Makeup Remover,Monthly,108.92,3.6,8901,30Ml,Combination,Unisex,Compact,Vitamin C,False,Italy,30.0,3.630666666666667,32.73851249847288,1,3,Makeup Remover Vitamin C Combination Compact
75,Ultra Blush,Rms Beauty,Lipstick,Occasional,15.36,1.5,2461,150Ml,Combination,Female,Bottle,Aloe Vera,True,South Korea,150.0,0.10239999999999999,11.713093960116598,2,2,Lipstick Aloe Vera Combination Bottle
76,Divine Setting Spray,Rms Beauty,Powder,Weekly,144.46,1.4,9314,30Ml,Oily,Male,Stick,Hyaluronic Acid,False,Uk,30.0,4.815333333333333,12.795133796249964,3,1,Powder Hyaluronic Acid Oily Stick
77,Divine Setting Spray,Huda Beauty,Face Mask,Occasional,53.25,3.6,6115,250Ml,Sensitive,Male,Spray,Hyaluronic Acid,False,Germany,250.0,0.213,31.387188841376233,2,3,Face Mask Hyaluronic Acid Sensitive Spray
78,Ultra Makeup Remover,Pat Mcgrath Labs,Serum,Occasional,39.87,3.0,7793,200Ml,Normal,Female,Spray,Hyaluronic Acid,True,France,200.0,0.19935,26.883328457695967,2,2,Serum Hyaluronic Acid Normal Spray
79,Perfect Eyeliner,Sisley,Serum,Weekly,17.32,2.6,1402,100Ml,Oily,Female,Bottle,Glycerin,False,Italy,100.0,0.1732,18.840557008266398,3,2,Serum Glycerin Oily Bottle
80,Super Mascara,Too Faced,Foundation,Weekly,104.76,3.3,1435,100Ml,Combination,Male,Bottle,Hyaluronic Acid,False,Uk,100.0,1.0476,23.98973527370696,3,0,Foundation Hyaluronic Acid Combination Bottle
81,Magic Makeup Remover,Too Faced,Blush,Monthly,34.46,2.0,5485,150Ml,Oily,Female,Jar,Retinol,True,Italy,150.0,0.22973333333333334,17.2199093429951,1,2,Blush Retinol Oily Jar
82,Ultra Face Mask,Tatcha,Foundation,Monthly,132.75,3.7,9541,50Ml,Oily,Female,Stick,Aloe Vera,False,Italy,50.0,2.655,33.90479602848139,1,3,Foundation Aloe Vera Oily Stick
83,Perfect Bb Cream,Fenty Beauty,Cleanser,Daily,86.04,4.2,7546,150Ml,Sensitive,Female,Compact,Shea Butter,True,Germany,150.0,0.5736,37.50140273159645,0,3,Cleanser Shea Butter Sensitive Compact
84,Perfect Bb Cream,Natasha Denona,Powder,Occasional,15.83,3.5,7966,100Ml,Oily,Female,Jar,Shea Butter,True,Italy,100.0,0.1583,31.44072151283128,2,3,Powder Shea Butter Oily Jar
85,Magic Lipstick,Danessa Myricks,Bronzer,Monthly,15.17,3.3,9458,100Ml,Sensitive,Female,Stick,Salicylic Acid,False,Australia,100.0,0.1517,30.21058242910346,1,3,Bronzer Salicylic Acid Sensitive Stick
86,Divine Concealer,Perricone Md,Primer,Occasional,114.25,4.6,8534,150Ml,Oily,Female,Tube,Vitamin C,True,France,150.0,0.7616666666666667,41.638880922051285,2,3,Primer Vitamin C Oily Tube
87,Divine Exfoliator,Kylie Cosmetics,Face Mask,Occasional,72.78,3.9,1857,30Ml,Oily,Female,Tube,Retinol,True,Germany,30.0,2.426,29.356298085557754,2,0,Face Mask Retinol Oily Tube
88,Super Contour,Rare Beauty,Primer,Occasional,114.03,1.0,9905,50Ml,Normal,Female,Jar,Salicylic Acid,False,Japan,50.0,2.2806,9.200895913148184,2,1,Primer Salicylic Acid Normal Jar
89,Divine Contour,Milk Makeup,Mascara,Daily,105.93,1.7,5581,30Ml,Dry,Male,Bottle,Vitamin C,False,Uk,30.0,3.531,14.666414103963653,0,1,Mascara Vitamin C Dry Bottle
90,Ultra Foundation,Pat Mcgrath Labs,Setting Spray,Weekly,40.89,3.0,7249,200Ml,Dry,Female,Jar,Hyaluronic Acid,False,South Korea,200.0,0.20445,26.666270243546162,3,2,Setting Spray Hyaluronic Acid Dry Jar
91,Divine Face Mask,Clinique,Contour,Daily,141.48,3.7,9189,150Ml,Normal,Unisex,Bottle,Shea Butter,True,Germany,150.0,0.9431999999999999,33.76572349679401,0,3,Contour Shea Butter Normal Bottle
92,Divine Concealer,Anastasia Beverly Hills,Face Mask,Monthly,109.61,1.7,506,250Ml,Oily,Male,Tube,Glycerin,True,Italy,250.0,0.43844,10.588468706105012,1,1,Face Mask Glycerin Oily Tube
93,Super Exfoliator,Sisley,Moisturizer,Weekly,78.62,2.7,4829,150Ml,Normal,Male,Tube,Hyaluronic Acid,False,Germany,150.0,0.5241333333333333,22.90302471594587,3,2,Moisturizer Hyaluronic Acid Normal Tube
94,Divine Bb Cream,Kvd Beauty,Lip Liner,Occasional,101.67,2.3,52,30Ml,Oily,Unisex,Spray,Vitamin C,False,Uk,30.0,3.3890000000000002,9.13167140116988,2,1,Lip Liner Vitamin C Oily Spray
95,Perfect Cleanser,Farsali,Bronzer,Monthly,85.31,1.3,8316,30Ml,Combination,Unisex,Jar,Glycerin,False,Uk,30.0,2.8436666666666666,11.733873959429294,1,1,Bronzer Glycerin Combination Jar
96,Divine Exfoliator,Clinique,Makeup Remover,Weekly,76.5,4.8,8962,150Ml,Sensitive,Unisex,Stick,Shea Butter,False,Italy,150.0,0.51,43.68412930251534,3,3,Makeup Remover Shea Butter Sensitive Stick
97,Magic Contour,Natasha Denona,Face Mask,Daily,129.66,3.3,7110,150Ml,Normal,Female,Spray,Hyaluronic Acid,False,Italy,150.0,0.8644,29.26901392761561,0,3,Face Mask Hyaluronic Acid Normal Spray
98,Super Lipstick,Shiseido,Concealer,Daily,42.77,4.9,6165,250Ml,Combination,Male,Stick,Shea Butter,True,Japan,250.0,0.17108,42.761347481385876,0,3,Concealer Shea Butter Combination Stick
99,Magic Eyeliner,Milk Makeup,Blush,Occasional,97.68,1.3,7863,50Ml,Oily,Female,Compact,Aloe Vera,True,Italy,50.0,1.9536000000000002,11.661065860375103,2,1,Blush Aloe Vera Oily Compact
100,Divine Setting Spray,Bobby Brown,Blush,Weekly,126.69,4.8,9525,200Ml,Oily,Unisex,Compact,Vitamin C,True,France,200.0,0.63345,43.97654487053187,3,3,Blush Vitamin C Oily Compact
101,Magic Highlighter,It Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,200Ml,Oily,Female,Jar,Aloe Vera,True,Japan,200.0,0.7067,44.939818947004284,2,3,Lip Liner Aloe Vera Oily Jar
102,Ultra Eye Shadow,Nars,Foundation,Monthly,136.12,4.6,5489,100Ml,Normal,Female,Jar,Shea Butter,False,Uk,100.0,1.3612,39.60914425871644,1,3,Foundation Shea Butter Normal Jar
103,Magic Primer,Clinique,Blush,Occasional,48.08,2.6,8445,200Ml,Combination,Male,Stick,Shea Butter,False,Italy,200.0,0.2404,23.50776541228411,2,2,Blush Shea Butter Combination Stick
104,Divine Lip Gloss,Rare Beauty,Face Oil,Occasional,149.9,4.3,6185,200Ml,Normal,Female,Compact,Hyaluronic Acid,False,Uk,200.0,0.7495,37.53918899895356,2,3,Face Oil Hyaluronic Acid Normal Compact
105,Super Lip Liner,Becca,Exfoliator,Monthly,89.22,2.5,8595,30Ml,Dry,Female,Compact,Vitamin C,False,South Korea,30.0,2.9739999999999998,22.647630644406004,1,3,Exfoliator Vitamin C Dry Compact
106,Divine Cleanser,Kvd Beauty,Bb Cream,Monthly,41.47,4.3,108,30Ml,Sensitive,Female,Tube,Shea Butter,False,South Korea,30.0,1.3823333333333332,20.172795893585317,1,0,Bb Cream Shea Butter Sensitive Tube
107,Super Face Mask,Shiseido,Setting Spray,Daily,43.51,3.5,3246,50Ml,Dry,Male,Compact,Glycerin,True,Usa,50.0,0.8702,28.299203702359957,0,0,Setting Spray Glycerin Dry Compact
108,Super Contour,Nars,Highlighter,Daily,70.22,1.4,6921,100Ml,Dry,Female,Stick,Vitamin C,True,Germany,100.0,0.7021999999999999,12.379444033873405,0,2,Highlighter Vitamin C Dry Stick
109,Ultra Serum,Patrick Ta,Moisturizer,Weekly,108.06,3.5,1467,150Ml,Oily,Male,Spray,Retinol,True,Germany,150.0,0.7204,25.52079673211061,3,0,Moisturizer Retinol Oily Spray
110,Super Primer,Danessa Myricks,Primer,Weekly,148.83,2.7,7034,50Ml,Normal,Female,Spray,Aloe Vera,False,Australia,50.0,2.9766000000000004,23.918363017780923,3,1,Primer Aloe Vera Normal Spray
111,Divine Setting Spray,Natasha Denona,Bb Cream,Weekly,22.51,3.6,8061,100Ml,Normal,Male,Bottle,Hyaluronic Acid,True,France,100.0,0.22510000000000002,32.3817009972376,3,3,Bb Cream Hyaluronic Acid Normal Bottle
112,Divine Mascara,Sisley,Concealer,Occasional,107.14,2.8,5333,30Ml,Oily,Unisex,Stick,Shea Butter,False,Uk,30.0,3.5713333333333335,24.029198773277486,2,1,Concealer Shea Butter Oily Stick
113,Divine Lip Gloss,Laura Mercier,Cleanser,Occasional,93.49,1.7,1959,250Ml,Sensitive,Female,Tube,Retinol,True,Australia,250.0,0.37395999999999996,12.887189578781756,2,1,Cleanser Retinol Sensitive Tube
114,Super Blush,Sisley,Face Oil,Occasional,57.93,3.2,7353,30Ml,Combination,Unisex,Spray,Retinol,False,Italy,30.0,1.931,28.4895989179559,2,3,Face Oil Retinol Combination Spray
115,Magic Serum,Huda Beauty,Setting Spray,Occasional,129.56,3.7,7580,150Ml,Normal,Male,Jar,Vitamin C,False,France,150.0,0.8637333333333334,33.05358146540832,2,3,Setting Spray Vitamin C Normal Jar
116,Ultra Lip Gloss,Charlotte Tilbury,Contour,Weekly,39.63,3.4,4162,50Ml,Sensitive,Female,Compact,Salicylic Acid,True,Usa,50.0,0.7926000000000001,28.335570240462914,3,2,Contour Salicylic Acid Sensitive Compact
117,Divine Face Oil,Urban Decay,Exfoliator,Occasional,71.49,2.8,770,50Ml,Combination,Unisex,Tube,Shea Butter,True,Japan,50.0,1.4298,18.613527445977322,2,0,Exfoliator Shea Butter Combination Tube
118,Ultra Setting Spray,It Cosmetics,Setting Spray,Daily,62.75,3.1,2901,150Ml,Sensitive,Female,Compact,Retinol,True,France,150.0,0.41833333333333333,24.716781843676813,0,0,Setting Spray Retinol Sensitive Compact
119,Ultra Lip Liner,Bobby Brown,Face Oil,Monthly,88.28,3.1,159,50Ml,Sensitive,Unisex,Stick,Vitamin C,False,Japan,50.0,1.7656,15.733038827224863,1,0,Face Oil Vitamin C Sensitive Stick
120,Magic Cleanser,Nars,Face Oil,Daily,94.71,3.9,5860,200Ml,Combination,Female,Compact,Vitamin C,False,Germany,200.0,0.47354999999999997,33.83669451425807,0,3,Face Oil Vitamin C Combination Compact
121,Magic Serum,Morphe,Powder,Occasional,63.46,4.2,2493,150Ml,Oily,Unisex,Jar,Retinol,True,South Korea,150.0,0.42306666666666665,32.85090113020792,2,0,Powder Retinol Oily Jar
